state,acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,NCES District ID,nces_original_name,county,student
TX,North East Independent School District,38819,2020,2132074073,1536119240,113954179,16080,0,0,184611924,0,237167621,0,5217375,25019262,120893482,0,657944666,-33005038,836862448,8476991,0,0,803857410,north east,4832940,NORTH EAST ISD,Bexar County,64539
CA,Elk Grove Unified School District,146106,2020,1218599815,280030239,0,14050237,0,0,749359000,0,11770913,0,16169700,22785700,171805100,11285395,635769515,-46093336,887739046,0,0,0,841645710,elk grove unified,0612330,Elk Grove Unified,Sacramento County,63660
FL,Volusia County District School Board,70626,2020,791182331,33859056,31114348,300298038,0,0,338806631,0,18586161,0,62019497,7287817,21844451,16359273,618291211,-5995213,669777965,0,0,0,663782752,volusia,1201920,VOLUSIA,Volusia County,63009
TX,Frisco Independent School District,38875,2020,2771800196,2252532141,142173875,0,0,0,182078056,0,195016124,0,0,36129968,71108796,0,713149401,-12287776,832675941,0,0,0,820388165,frisco,4820010,FRISCO ISD,Collin County,62705
TX,Arlington Independent School District,39189,2020,1643859113,1097932513,109491434,0,0,2534161,202083399,0,231749147,0,0,6177653,153420351,0,600076717,2900351,756774370,2170277,87297,0,759674721,arlington,4808700,ARLINGTON ISD,Tarrant County,59532
MD,Howard County Board of Education,41713,2020,1031229897,0,101872185,5666789,0,0,50666596,0,849712337,0,12040282,4153559,171756182,41856506,864300788,-30400186,1112467221,0,0,0,1082067035,howard,2400420,Howard County Public Schools,Howard County,58868
UT,Jordan School District,39322,2020,505146280,242630552,88685721,0,0,0,154946340,0,2387087,0,4981898,21953964,133329099,2415335,376806659,-4444248,538949305,0,0,0,534505057,jordan,4900420,Jordan District,Salt Lake County,57771
WA,Seattle School District No.1,39643,2020,123970331,20421000,79164626,0,0,0,295248620,0,0,0,0,0,0,0,1263718387,74900795,1188817592,0,0,0,1263718387,seattleno,5307710,Seattle School District No. 1,King County,55986
TX,Garland Independent School District,38895,2020,1028867238,557829529,78668996,983047,0,6466357,176503815,0,204393433,0,1151090,9028933,121875947,0,561418373,39301190,653022063,0,0,0,692323253,garland,4820340,GARLAND ISD,Dallas County,55701
TX,El Paso Independent School District,38929,2020,1635139177,1016034687,162416367,10832688,0,53635245,165283406,0,214670423,0,10963143,4682509,169440796,0,539023388,3563049,709583644,31187573,179224,0,713146693,el paso,4818300,EL PASO ISD,El Paso County,55253
TX,Klein Independent School District,38991,2020,1688085132,1225799203,93750833,0,0,0,171536152,0,192705677,0,3764296,11189299,92174619,0,518687116,49445032,572606002,0,0,0,622051034,klein,4825740,KLEIN ISD,Harris County,54096
TX,Pasadena Independent School District,38993,2020,1358873648,797365821,87775873,0,0,0,209167194,0,237273584,0,271981,9177615,155032044,0,517671080,-31199867,713080606,48655507,81610,0,681880739,pasadena,4834320,PASADENA ISD,Harris County,52878
CA,San Francisco Unified School District,146595,2020,2652780917,897534000,90091449,4287000,0,0,836406746,0,782068572,0,0,2272277,313285564,0,974652263,-16753110,1306963214,9229242,0,0,1290210104,san francisco unified,0634410,San Francisco Unified,San Francisco County,52811
TX,Plano Independent School District,38877,2020,1471969476,823578740,271048351,0,0,0,174271009,0,198353587,0,3766513,20959370,116590537,0,791850518,57232413,872168012,7383507,0,0,929400425,plano,4835100,PLANO ISD,Collin County,52629
CA,Corona-Norco Unified School District,146048,2020,1511591818,678625184,75662863,25802026,0,0,625815620,0,76877208,0,5101062,7617180,122620657,0,569735177,-40933125,740906139,0,0,0,699973014,corona-norco unified,0609850,Corona-Norco Unified,Riverside County,52557
GA,School District Atlanta Public Schools,70961,2020,1457874182,0,94544551,0,0,0,926762156,0,348020497,0,5756392,2906192,298428243,8069933,755593032,107459381,957538019,0,0,0,1064997400,atlanta,1300120,Atlanta Public Schools,Fulton County,52416
TX,Lewisville Independent School District,38905,2020,2016853986,1571032794,99441710,0,0,0,159467259,0,183776610,0,3135613,21153088,83270862,0,647845060,76402745,675866265,1151790,48541,0,752269010,lewisville,4827300,LEWISVILLE ISD,Denton County,52189
TX,Round Rock Independent School District,39253,2020,1540696369,1141173684,104453665,0,0,0,124392763,0,165202836,0,5473421,11608971,95336120,2243837,524554689,12477187,621266430,0,0,0,633743617,round rock,4838080,ROUND ROCK ISD,Williamson County,50953
NC,Cumberland County Board of Education,36539,2020,746287666,0,35655479,0,0,0,183778157,0,490843482,676022,27872841,11746285,377295525,2161100,117466153,-8708115,517377178,0,0,0,508669063,cumberland,3700011,Cumberland County Schools,Cumberland County,50750
GA,Forsyth County Board of Education,32567,2020,1482624205,637949878,67196028,0,0,0,445614082,0,305628089,0,0,10760767,252309677,40707249,315327113,10521951,608582855,0,0,0,619104806,forsyth,1302220,Forsyth County,Forsyth County,50544
SC,Charleston County School District,43341,2020,2050410740,612843511,62734771,0,0,228045000,583236524,0,501590758,0,61960176,3865226,216812631,0,674446126,101015984,794107999,0,0,0,895123983,charleston,4501440,Charleston 01,Charleston County,50299
